"prefix","code","course name","description","credit hours","prereqs","coreqs"
"HIEU","344","History at Play: Critical Moments in Modern Europe","This course explores critical moments in the history of Modern Europe through the lenses of Reacting to the Past, an active learning pedagogy designed for higher education.","3","",""
"HIEU","354","Early Medieval Warfare","Transformation of warfare, society, and culture in Europe and the Mediterranean during the years 350-1000.","3","",""
"HIEU","364","Fascism and Anti-Fascism in Global History","Course examines fascism as a historical development in various parts of the world, but focuses particular attention on Europe, the Americas, and Asia. It also examines anti-fascist movements around the world from the 1920s to the present.","3","",""
"HIEU","383","Studies in Premodern European History","Aspects of premodern European history. Content varies.","3","",""
"HIEU","384","Studies in Modern European History","Aspects of modern European history. Content varies.","3","",""
"HIEU","420","Invisible Romans","Histories of non-elite ancient Romans from ordinary women and men to slaves, freed persons, and others.","3","",""
"HIEU","425","The City of Rome: Antiquity","History of the urban and material development of the city of Rome as a vantage on Roman social, political, economic, and cultural history.","3","",""
"HIEU","426","Dark Age Empire","Era of Charlemagne and Carolingian dynasty (ca. 700-ca. 900), a period of empire-building and religious transformation known to many of its contemporaries as a  Dark Age. ","3","",""
"HIEU","429","Medieval Intellectual History","Evolution of thought in Europe from late antiquity to the advent of Humanism; emphasizes connections between major thinkers and their social, economic, and professional contexts.","3","",""
"HIEU","430","Gender and Medicine in the Middle Ages","Surveys medieval approaches to medicine, health, and the body with a focus on women s medicine and female practitioners. Explores the European inheritance of Greek and Arabic medicine. Topics include herbal medicine, distinctions between magic, religion, and medicine, institutions of medical learning, public health and varieties of practitioners.","3","",""
"HIEU","432","Medicine in the Third Reich","Examines the cultural history of medicine in Germany from the late nineteenth century to 1945. Includes discussion of race, gender, and class in medicine, and ideas about health, illness, disability, and the body in a dictatorship that aimed to realize a program of biological and social engineering of unprecedented scope.","3","",""
"HIEU","433","European Diplomatic History","Diplomatic history of modern Europe, including rise of Great Powers and  balance of power system ; challenges to state system by Napoleon, German empire, and Hitler; creation of overseas empires; decline of European world power.","3","",""
"HIEU","434","Modern European Imperialism","Topics include slave trade, scramble for Africa, liberal imperialism, theories of empire, gender, migration, and decolonization.","3","",""
"HIEU","435","Science, Religion and Magic in Early Modern Europe","Course examines the role of alchemy, natural magic, and the natural sciences in early modern Europe (1400-1700); special attention to social, religious, economic, and political developments shaping intellectual traditions.","3","",""
"HIEU","444","Algeria, France, and the Violence of Decolonization","This course will focus on the Algerian Revolution of 1954-1962, a particularly violent chapter in France s colonial history. In France, the manner in which the war was fought raised unsettling and divisive questions about the use of torture, the nature of terrorism, resettlement camps, and imperialism more generally. Students will engage with both primary and secondary sources to learn about this conflict from the perspective of settlers, Algerians (in both Algeria and France), and the French. In addition to learning about scholarly debates and methodology, students will explore the role of memory and politics in shaping our understanding of this period of history.","3","",""
"HIEU","482","Studies in Ancient History","Aspects of ancient Near East and Mediterranean history. Content varies.","3","",""
"HIEU","483","Studies in Medieval and Early Modern European History","Aspects of medieval and early modern Europe. Content varies.","3","",""
"HIEU","484","Studies in Modern European History","Themes and issues in modern European history, eighteenth century to present. Content varies.","3","",""
"HILA","255","Early Latin American and Caribbean History","Survey of Latin America and the Caribbean from pre-colonial period through independence era.","3","",""
"HILA","256","Modern Latin American and Caribbean History","Survey of Latin America and the Caribbean from independence to present.","3","",""
"HILA","343","History of Mexico: Aztecs to El Chapo","Mexican history from pre-colonial period to present.","3","",""
"HILA","344","History of Brazil","Brazilian history from pre-colonial period to present.","3","",""
"HILA","360","History of Early Latin America","Native cultures of pre-Conquest times. Conquest and colonial settlement of Iberian America. Economic, social, cultural developments, concentrating on central areas of European presence and interactions among European, indigenous, and African populations.","3","",""
"HILA","361","History of Modern Latin America","Independence to modern times. Explores political and economic themes of nationhood as well as socio-economic and political dimensions of race, class, ethnicity, gender.","3","",""
"HILA","370","Latin American History at the Movies","History of portrayals of Latin America in films from Latin America and the United States.","3","",""
"HILA","371","African Presence in Latin America","This course explores African descendant experiences in Latin America from slavery to the present day, examining race relations as well as social and political activities among Afro-Latin Americans in different nations. The class will uncover the contributions of Africans and people of African descent to the development of Latin American societies and will engage with their diverse religious traditions, cultural practices and modes of artistic expression.","3","",""
"HILA","383","Studies in Latin American and Caribbean History","Particular aspects of Latin American and/or Caribbean history. Content varies.","3","",""
"HILA","450","Slavery in the Early Americas","Examines the rise and fall of slavery in the Americas, ca. 1450-1888. Focus on the Caribbean, South and North America.","3","",""
"HILA","460","The Life and Times of Ernesto  Che  Guevara","History of twentieth century Latin American politics and revolution through the life and afterlife of Ernesto  Che  Guevara.","3","",""
"HILA","463","History of the Spanish Inquisition","History of the origins, evolution, and demise of the Spanish inquisition. Comparative practices of the Inquisition in Iberia and the Americas.","3","",""
"HILA","464","The Spanish Conquest","History of Iberian and Native American societies leading up to the Spanish Conquest of the Americas, the Conquest, and its aftermath. Spanish and indigenous primary accounts of the process of conquest; cultural, religious, gender, epidemiological, and political impact on Spanish and native societies.","3","",""
"HILA","465","Gender and Sexuality in Early Latin America","Gender and sexuality in social systems of pre-Colombian and colonial Latin America; consideration of indigenous and Spanish societies.","3","",""
"HILA","484","Studies in Latin American and Caribbean History","Aspects of Latin American and Caribbean history. Content varies(Same as LAC 484 .)","3","",""
"HIME","350","The Crusades and Medieval Muslim-Christian Relations","This course examines the ideology and experience of the medieval crusades, covering their emergence and evolution from the 11th-13th centuries and exploring their impact in the Middle East, Europe, and North Africa. Themes include the complex dynamics of interfaith relations, Christian and Muslim understandings of holy war, and colonial and gendered aspects of the crusades. ","3","",""
"HIME","366","History of the Middle East and the Islamic World, 600   105","History of the Middle East, c.600 to c.1050. Islamic world from Central Asia to North Africa; focus on religious, ethnic, and political diversity.","03","",""
"HIME","369","History of the Middle East and the Islamic World, ca. 1050   150","Religious, ethnic, and political diversity of the Islamic world from Central Asia to North Africa, c. 1050 to 1500.","03","",""
"HIME","370","History of the Middle East in Global Context","This course surveys Middle Eastern history, spanning from the early modern era to the present day. Our geographic scope encompasses the Eastern Mediterranean to Iran. Key topics include colonialism, economic dynamics and crises, race, gender, religion, humanitarian efforts, environmental issues, and migration, all within the broader context of global history. By conducting in-depth analyses of primary and secondary sources, including films, graphic novels, and other forms of media, we will delve into historical forces that continue to shape the region to this day.","3","",""
"HIME","382","Archaeology of Ancient Israel","Archaeology and material culture of ancient Israel and the biblical world, from the Epi-Paleolithic Period (10,000   8,500 BCE) to the end of the Iron Age in the 6th century BCE.","3","",""
"HIME","383","Ancient Jewish History","Biblical-Talmudic periods (1200 BCE   600 CE). Origins of the Israelites, development of independent Israelite and Jewish states in the ancient Near East, rise of Jewish Diaspora communities, cultural convergences with Hellenism and early Christianity, and the development of Rabbinic Judaism.","3","",""
"HIME","384","Studies in Middle East History","Aspects of Middle East history. Content variesRepeatability: May be repeated. Maximum 9 hours.","3","",""
"HIME","385","Studies in Jewish History","Aspects of Jewish history. Content varies.","3","",""
"HIME","400","Archaeology and History of Mesopotamia","Mesopotamia (Assyria and Babylonia) from the 5th millennium to the Iron Age. Topics include development of village and state-level societies; emergence of social and political institutions; literacy, imperialism, and intersocietal interaction.","3","",""
"HIME","450","Food, Health and Society","Eating is both a necessity and a choice. This course explores the different meanings food has held in societies across the globe, with a focus on the Islamic Middle East. Topics include dietetic medicine, spiritual nourishment, vegetarianism, intoxication, famines, war and hunger, the birth of national cuisines, the rise of fast food, and the  inventions  of obesity and anorexia.","3","",""
"HIME","484","Studies in Middle East History","Aspects of Middle Eastern history. Content varies.","3","",""
"HIME","485","Studies in Jewish History","Aspects of Jewish civilization and culture. Content varies.","3","",""
"HIME","486","Studies in the Ancient Near East","History and archaeology of Egypt, Anatolia (Turkey), Cyprus, and Persia (Iran). Rise of social complexity and social boundaries in antiquity. Content varies.","3","",""
"HIST","200","Science, Medicine, and Technology in World Perspective","This course examines what we now call science, medicine and technology in the period up to 1500, and the emergence of science, biomedicine, and engineering as the globalization of particular ways of understanding and manipulating nature in the time since. It considers how the histories of science, medicine, and technology have been enmeshed in the course of world events, from colonial conquests and plagues to political revolutions and world wars.","3","",""
"HIST","261","A History of World Civilization","Historical survey of world civilization   origins to 1500.","3","",""
"HIST","262","A History of World Civilization","Historical survey of world civilization   1500 to present.","3","",""
"HIST","267","Honors: A History of World Civilization","Students will attend the appropriate HIST 261 * lectures and the designated honors discussion section.","3","",""
"HIST","268","Honors: A History of World Civilization","Students will attend the appropriate HIST 262 * lectures and the designated honors discussion section.","3","",""
"HIST","299","Thinking Historically","Fundamentals of the historian s craft. Variable content. Required for all majors including history honors students.","3","",""
"HIST","301","Gender, Power, and Representation","Examination of how gender and sexuality have historically informed discussions about political and social power.","3","",""
"HIST","303","War and Society Issues","This course examines the historical record of both world wars for insights into the causes of war, their precise social impact, and the long-lasting effects of conflict. Students evaluate suggestions for forestalling or even eliminating war and strategies for social reconstruction in its aftermath.","3","",""
"HIST","307","Honors: Introduction to Historical Research","Research-intensive honors course on variable topics. Students will gain extensive experience analyzing primary sources and constructing historical arguments.","3","",""
"HIST","309","Women in the Atlantic World, 1450-185","Students will become familiar with the histories and experiences of women from a variety of intersecting identities (of class, sexuality, religion, race, and freedom status) who lived in the Atlantic World over the course of roughly three centuries (1450-1850).","03","",""
"HIST","310","Death: A Global History","Course traces the ways human beings have thought about death and interacted with the dead over roughly five centuries, from 1500 to the present, around the globe. Themes include war death and memorialization, mortuary practices, and ghost cultures.","3","",""
"HIST","317","Honors: Selected Topics in History","Content varies. Selected topics in History.","3","",""
"HIST","318","Honors: History at Play","This course explores critical moments in world history through the lenses of Reacting to the Past (RTTP), an active-learning pedagogy of role-playing games designed for higher education. In this live-action class, you and your classmates will assume the identities of major, minor, and little-known figures from the past to debate key ideas and texts that have shaped our world.","3","",""
"HIST","331","History of Space","This course explores the early history of space exploration and rocketry and the developments since then, with the entry of new powers   both national and private. At the same time, it examines how the history of space exploration intersects with politics and geopolitics, culture, economics, and more besides.","3","",""
"HIST","345","History of the Cold War","Global history of the Cold War from 1945 to 1991. Tensions between superpowers and their respective allies; ideological, military, political, social, cultural, and economic dimensions; reasons for Cold War s end.","3","",""
"HIST","365","Medicine in Western Society","In this course, we explore the changing intellectual, economic, institutional and cultural relationships that have characterized medicine in the Western world from antiquity to the present. We consider the education of practitioners, locations of healing, and expectations that people had of medicine as ideas about the body and illness shifted with new discoveries and theories about health and disease. We examine the roles both of prominent individuals (Harvey, Pasteur, Ehrlich) and of general trends (industrialization, technology) in shaping medical practice and the medical professions.","3","",""
"HIST","373","Historical Issues","Variable content. Selected topics in history. Thematic focus, lecture-discussion format. Repeatability: May be repeated. Maximum 9 hours.","3","",""
"HIST","374","Traveling the Globe in the Premodern World","How connected were communities across the world before and during the  age of exploration ? Who traveled long distances in the premodern? Why and how did they make their journeys, and how did their impressions of the places and peoples they visited influence the imaginations of their home populations? What connected famous explorers like Marco Polo, Ibn Battuta, and Christopher Columbus to people who traveled the globe as part of their daily lives as merchants, captives, and pirates? This course will address these questions and more, covering long-distance travel from the late medieval through the colonial period.","3","",""
"HIST","375","History of Global Monarchy","Examines the strikingly durable tradition of royal rule and ideology from the most ancient times to the present day across world cultures.","3","",""
"HIST","384","The History of Ireland and Irish in the World","Irish history from prehistory to the present, in a world-historical context. Explores emigration and experience of Irish immigrants outside Ireland.","3","",""
"HIST","385","Studies in World History","Variable content. Selected topics in world history involving analysis of two or more world cultures.","3","",""
"HIST","397","Honors Studies in History","Course for students admitted to honors programs. Variable Content seminar on various topics from a humanities perspective, with specific disciplinary content determined by instructor.","3","",""
"HIST","399","Technology and Innovation in Modern History","What are the benefits and drawbacks of automation, and how does our dependence on machines change our experience of being human? In a world where information circulates so freely, what can we do when misinformation spreads as easily as the truth? These questions may seem to belong only to the present day; in fact, people have struggled with them for centuries. This course examines the pre-digital history of information overload and automation, focusing on the period from 1700 to 1950.","3","",""
"HIST","407","Honors: Senior Paper","Research for the senior thesis and completion of a partial draft. Required of students working for honors in history.","3","ENGL 102 or ENGL 132 or ENGL 298",""
"HIST","407R","Honors: Senior Paper","Research for the senior thesis and completion of a partial draft. Required of students working for honors in history.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"HIST","408","Honors: Senior Paper","Organization and writing of the senior honors thesis. Required of students working for honors in history.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"HIST","408R","Honors: Senior Paper","Organization and writing of the senior honors thesis. Required of students working for honors in history.","3","ENGL 102 or ENGL 132 or ENGL 298",""
"HIST","410","Infectious Disease: A Global History","Course explores the social, political, biological, and environmental history of infectious diseases across the globe. Focuses on the histories of a select number of paradigmatic diseases (HIV-AIDS, syphilis, small pox, malaria) from a variety of geographical, chronological and methodological perspectives. Interdisciplinary approach. Research component.","3","",""
"HIST","415","Magic and Witchcraft in the Atlantic World","A survey of belief systems relating to witchcraft and magic from the Americas, Africa, and Europe prior to ca. 1850.","3","",""
"HIST","415","Magic and Witchcraft in the Atlantic World","A survey of belief systems relating to witchcraft and magic from the Americas, Africa, and Europe prior to ca. 1850.","3","",""
"HIST","419","Topics in the History of Science, Medicine and Technology","Variable topics course in the history of science, medicine and technology.","3","",""
"HIST","427","Honors: Special Topics","Content varies. Selected topics in History.","3","",""
"HIST","490","Internship at the Center for the Study of Tennesseans and War","The Center researches, preserves, and shares the stories of people in our region who have been involved in wars over the past 300 years.  Students get 3 credits toward their history major, and they can add the work experience to their resumes.  Interns work on research projects for the Center s website.","3","",""
"HIST","491","Foreign Study1-","Repeatability: May be repeated. Maximum 15 hours.","15","",""
"HIST","492","Off-Campus Study1-","Repeatability: May be repeated. Maximum 15 hours.","15","",""
"HIST","493","Independent Study1-","Repeatability: May be repeated. Maximum 15 hours.","15","",""
"HIST","499","Senior Research Seminar","Historical writing based on original research in primary sources. Variable content. Required for all majors except history honors students. Writing-emphasis course.","3","HIST 299 or ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"HIUS","221","History of the United States","Settlement to 1877.","3","",""
"HIUS","222","History of the United States","1877 to present.","3","",""
"HIUS","227","Honors: History of the United States","Honors survey, settlement to 1877.","3","",""
"HIUS","228","Honors: History of the United States","Honors survey, 1877 to present.","3","",""
"HIUS","300","The Rise and Fall of Slavery in the United States","History of the rise and fall of racial slavery in the United States.","3","",""
"HIUS","301","Borders, Burritos, and Gringos: The Entangled Histories of the United States and Mexico","Explores the relationship of the United States and Mexico over five centuries, and their parallel and intersecting histories.","3","",""
"HIUS","301","Borders, Burritos, and Gringos: The Entangled Histories of the United States and Mexico","Explores the relationship of the United States and Mexico over five centuries, and their parallel and intersecting histories.","3","",""
"HIUS","303","History of Capitalism in America and Beyond","This course provides a broad introduction to the interconnected history of the U.","3","",""
"HIUS","310","American History Through Video Games","This course explores how American history is represented (and misrepresented) on the digital screen. Games explored and chronological/geographical focus variable. Writing-emphasis course.","3","",""
"HIUS","312","Eastern Native American History","Historical survey of Native American people who lived east of the Appalachians before contact through 1865. Writing-emphasis course.","3","",""
"HIUS","314","Native American Art and Material Culture","Historical survey of the various forms of Native American Art and Material Culture from an Indigenous activist perspective.","3","",""
"HIUS","323","Rich and Poor in America","This course examines the history of wealth and poverty in American society, with particular attention to the impact of economic inequality on democratic ideals and practices.","3","",""
"HIUS","325","Women in American History","Experiences and perspectives of women in the US from the pre-Columbian era through the end of the 20th century.","3","",""
"HIUS","326","Gay American History","History of same-sex desires, behaviors, relations, and politics from colonial America to the present.","3","",""
"HIUS","329","Native American History","Histories of Native Americans East and West of the Mississippi.","3","",""
"HIUS","339","The History of Medicine in the Movies","In this course, we explore the social and cultural history of 20th and early 21st century American medicine through the depiction of health care practitioners and health care systems in Hollywood movies. We use films as our central primary source, watching thirteen movies during the semester. Movies reveal a great deal about what was taken for granted at the time of each film s production. We examine how a range of social and professional conditions affected medicine over a century, including gender and race relations; physicians  paternalism and patients  autonomy; medical technology and expectations for care and cure; and ethical and professional norms for medical research and decision-making in-patient care. Readings from a variety of secondary and primary sources help us to put these films into their historical contexts.","3","",""
"HIUS","346","African American Religious History","Focus on diverse religious histories of African Americans from the earliest years of the trans-Atlantic slave trade; transmission of African cultures to the New World to the present.","3","",""
"HIUS","349","United States Military History","Shifting strategy, tactics, and weaponry involved in US wars. Relationship between American society and its armed forces.","3","",""
"HIUS","350","Colonial America to 176","Social and cultural developments in the American colonies from first contact between Europeans and native peoples through the mid-18th century.","33","",""
"HIUS","351","The American Revolution","Growing estrangement of the American colonies from the British Empire; War for Independence; creation of American republic.","3","",""
"HIUS","352","The Early American Republic","Examines economic, political, and social developments in early 19th-century America.","3","",""
"HIUS","353","The Civil War and Reconstruction Eras","Examines major political, economic, and social developments in the United States during Civil War and Reconstruction eras.","3","",""
"HIUS","354","United States, 1877-193","America s political, economic, and social development from the Gilded Age through the Great Depression.","33","",""
"HIUS","355","United States 1933-Present","American experience from New Deal to present. Emphasizes domestic history but includes military and foreign policy.","3","",""
"HIUS","356","The 1960s in America","Politics, empowerment movements, and cultural rebellions of the 1960s","3","",""
"HIUS","361","Free Speech Fights: The First Amendment in American History","Explores the origin and crucial turning points in the evolution of freedom of speech and freedom of the press in the United States.","3","",""
"HIUS","361","Free Speech Fights: The First Amendment in American History","Explores the origin and crucial turning points in the evolution of freedom of speech and freedom of the press in the United States.","3","",""
"HIUS","361","Free Speech Fights: The First Amendment in American History","Explores the origin and crucial turning points in the evolution of freedom of speech and freedom of the press in the United States.","3","",""
"HIUS","361","Free Speech Fights: The First Amendment in American History","Explores the origin and crucial turning points in the evolution of freedom of speech and freedom of the press in the United States.","3","",""
"HIUS","371","Medicine and Health in America","From the early colonial period to the present, American medicine has been full of tensions between the comforts of traditional practices (whether Old World or New World) and the tantalizing promises of new discoveries and reform, both personal and social, through health. We will explore these tensions through intensive reading and discussion, along with an opportunity for students to pursue individual readings of particular interest to them.","3","",""
"HIUS","373","Mo Money, Mo Problems: The History of Black Business in the United States","This course examines the longstanding tradition of Black business in the United States.","3","",""
"HIUS","374","History of the Civil Rights Movement in the United States","Examines history of the civil rights movement in the United States from Reconstruction to the present.","3","",""
"HIUS","376","African American Women s History from Slavery to the Present","(See AFST 375 )","3","",""
"HIUS","379","African American Experience from Colonial Period to Civil War","African American history to the Civil War era.","3","",""
"HIUS","380","African American Experience from Civil War to the Present","19th- and 20th-century African American history.","3","",""
"HIUS","381","History of Tennessee","Tennessee s history from the 18th century to the present.","3","",""
"HIUS","382","Appalachian History","Appalachian region from pre-Columbian times to post-industrial era.","3","",""
"HIUS","383","Studies in United States History","Aspects of United States history. Content varies.","3","",""
"HIUS","386","Studies in Atlantic World History","Integration of peoples and regions around the Atlantic Ocean. Ocean-centered focus. Content varies.","3","",""
"HIUS","395","American Experience in WWII","Diplomacy and warfare in Europe and Asia; impact on American society.","3","",""
"HIUS","396","The American Century","Focuses on role of popular culture in shaping and reflecting American ideals and influence in a 20th-century, global context.","3","",""
"HIUS","399","Podcasting US History","Students in this course learn the skills needed to for creating podcasts while studying United States history. Students acquire abilities in oral communication and the technical aspects of podcasting, then create a podcast on a topic in US history. Historical content will vary by semester.","3","",""
"HIUS","417","Honors: Seminar in U. S. History","Selected topics in American history for honors students.","3","",""
"HIUS","436","History of Gender and Sexuality in the United States","Examines role of gender and sexuality in American social and cultural history.","3","",""
"HIUS","441","The American West","Examines  the West  as both frontier and region, real and imagined, from the first contacts between natives and colonizers to multicultural encounters of the 20th century.","3","",""
"HIUS","442","Religion in the United States: Revolution to Recent Past","This course explores American religious history from the era of the American Revolution to the recent past. The course pays special attention to the relationship between religion and politics, along with the themes of diversity and pluralism, racial inequality and religious expression, tolerance and coercion, and the impact of immigration.","3","",""
"HIUS","443","Medicine and Healing in the Age of Slavery","This course centers on the relationship between the practices of medicine and healing in the Age of Slavery (from the 16th century to Emancipation, mainly in the U.","3","",""
"HIUS","444","History of the South","New South from Reconstruction through the Second Reconstruction.","3","",""
"HIUS","450","America and the World","Course examines the impact of the modern United States on world history, and the impact that the world has had on modern U.","3","",""
"HIUS","456","Studies in Native American History","Content varies.","3","",""
"HIUS","471","The US-Mexican War","The nineteenth-century borderland region between the United States and Mexico witnessed migration, conflict, and, eventually, outright warfare between the two republics. From the violent birth of the Texas Republic to the often-forgotten U.","3","",""
"HIUS","484","Studies in United States History","Aspects of United States history. Content varies.","3","",""
"HONR","317","College Scholars Seminar","Sequence (HONR 317 and HONR 318 ) is required of all College Scholars each year and may be taken in any order.","1","",""
"HONR","318","College Scholars Seminar","Sequence (HONR 317 and HONR 318) is required of all College Scholars each year and may be taken in any order.","1","",""
"HONR","491","College Honors: Foreign Study1-","Repeatability: May be repeated. Maximum 15 hours.","15","",""
"HONR","492","College Honors: Off-Campus Study1-","Repeatability: May be repeated. Maximum 15 hours.","15","",""
"HONR","493","College Honors: Independent Study1-","Repeatability: May be repeated. Maximum 15 hours.","15","",""
"HONR","498","Honors: College Scholars Studies2-","Designed for College Scholars working on senior thesis, project, or performance.","12","",""
"HRM","360","Managing Human Resources","Theory, methods, and issues used to manage human resources in contemporary organizations. Overview of how organizations attract, motivate, develop, and retain employees, and how they interact with organizations representing employees. Designed to provide students with an opportunity to understand the functional areas of human resource management and the integration of these functions into an effective and efficient human resource management system.","3","","BUAD 331 or BUAD 337 or BUAD 341"
"HRM","481","Recruitment and Selection","Workforce planning, recruitment and selection, organizational entry and socialization. Planning, developing, implementing, administering, and performing ongoing evaluation of recruiting, hiring, orientation, and organizational exit to ensure that the workforce will meet the organization s goals and objectives.","3","","HRM 360"
"HRM","482","Employee and Labor Relations","Developing, implementing, and evaluating the workplace to enhance relationships and the working environment. Learning and reviewing employer/employee needs and rights that support the organization s goals and objectives.","3","","HRM 360"
"HRM","485","Compensation and Benefits","Strategies for maintaining high performance. Performance appraisal, compensation and benefits, employee and labor relations, health, safety and security issues.","3","","HRM 360"
"HRM","490","Application of the Internship Experience","This course is designed to reflect on the students  internship experience to develop skills they can transfer to their career. It will develop analytical skills as well as develop their knowledge of career options in the field of management and human resources. This course will also prepare students to anticipate and successfully navigate the job search process.","3","",""
"HRM","492","Internship and Career Development","The internship has two parts, class and on-site work experience. The practical experience is critical in understanding the HRM curriculum and assists the student in reaching his/her career goal and in many cases leads to a full-time job. The classroom portion assists the student in getting ready for the corporate world through personality assessment, salary negotiation and professional networking. This class and practical experience will support the learning outcomes of the undergraduate assessment completed each year in the undergraduate program.","1-6","",""
"HRM","492N","Internship and Career Development","The internship has two parts, class and on-site work experience. The practical experience is critical in understanding the HRM curriculum and assists the student in reaching his/her career goal and in many cases leads to a full-time job. The classroom portion assists the student in getting ready for the corporate world through personality assessment, salary negotiation and professional networking. This class and practical experience will support the learning outcomes of the undergraduate assessment completed each year in the undergraduate program. Repeatability: May be repeated once for a maximum of 6 combined hours.","1-6","",""
"HRM","493","Independent Study","Readings, research, and special projects.","3","",""
"HRM","495","Special Topics","Detailed study of a specialized area of human resource management. Topics vary by semester and include human resource consulting, global staffing and human capital management, and current topics in human resource management.","3","","HRM 360"
"HRM","496","Human Resource Management Guest Lecture Series","Reserved for short, topic specific lectures and workshops available to all students with an interest in the special topic. Topics may be different from semester to semester.","1-3","",""
"HTM","101","Principles and Science of Culinary Arts","Scientific principles involved with selection, preparation, and evaluation of quality food.","3","",""
"HTM","102","Introduction to Travel and Tourism","The class is a complete overview of the hospitality and travel industry. It will focus on the scope and pervasiveness of all facets of hospitality and tourism, and financial impacts.","3","",""
"HTM","150","Career Planning","This class focuses on resumes, cover letters, job interviewing, and professional interaction skills in the Retail, Hospitality, and Tourism Management industry.","1","",""
"HTM","210","Foodservice Operations Management","Principles of menu development, equipment selection, layout, purchasing, production, and service of food in volume.","3","",""
"HTM","211","Leading and Managing Hotels and Resorts","Operational theory of lodging and an exploration of the lodging industry in terms of nature of work, organizational structure of lodging segments, the meaning of guest services, differentiation of brands, current industry issues, and evaluation of the market place.","3","",""
"HTM","212","Event Planning and Design","Understanding the concepts and models of conventions/meetings, roles of meeting planners, identifying decision makers, site selection, negotiating, budgeting, and marketing commitment.","3","",""
"HTM","225","Principles of Baking and Pastry Arts","This course will cover the basics of a bakeshop focusing on leavening agents, binding ingredients, and fats. With the ingredients of salt, flour, water, and yeast students will learn basic bread making of multiple styles of bread. Desserts covered in this course consist of custards, cakes, pies, and pastries.","4","",""
"HTM","299","Beverage Management","This course is designed as an overview of contemporary issues in beverage management, including general instruction in wines, beers, spirits and the legal implications relative to their selling, serving, and consumption.","3","",""
"HTM","311","Talent Management in Hospitality and Retailing","The core concepts of managing an organization s culturally-diverse workforce   recruitment and selection, training and development, and employee relations.","3","HTM 210 or HTM 211 or HTM 212 or RMM 210",""
"HTM","312","Wedding Planning and Design","Introduction to the planning and design of weddings. Explores social, political, economic, cultural, religious, and historical influences on wedding planning decision-making and strategies. Reviews all the logistics relevant to wedding planning from the lens of experts in the industry.","3","",""
"HTM","326","Cost Controls in Hospitality and Tourism Operations","Budget, cost analysis, computer, financial statement use in decision-making in lodging and foodservice systems.","3","HTM 210 or HTM 211 and ACCT 200",""
"HTM","335","Advanced Culinary Techniques and Applications","This course will cover protein fabrication and cookery, sauce production, starches, grains, vegetables, and plate presentation. Students will learn recipe and menu writing along with the ability to prepare bulk quantities of food.","4","HTM 101 or FDSC 100",""
"HTM","361","Issues and Trends in Customer Service","Building competencies in providing outstanding customer service in hospitality and tourism organizations. This course will create a unified approach to customer service; recognizing the importance of organization policies; internal marketing; and theories, examples, and approaches that will lead to increased business by attracting and retaining desired customers.","3","HTM 311",""
"HTM","390","Leadership and Managing Corporate Culture","This class has been designed to address the unique transitional needs of hospitality students as leaders and pillars within today s society. More specifically, we will use this course to promote personal and professional development awareness. You will learn soft skills that assist with the development of individual leadership and organizational leadership tactics. This course will be structured to address self-awareness or self-mastery, to address the psychological issues that accompany your transition in today s diverse workforce.","3","HTM 311 or ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"HTM","392","Community and Industry Engagement","Approved short-term educational experiences focusing on community and industry engagement in hospitality and tourism.","1","",""
"HTM","410","Strategic Planning in Hospitality and Tourism","Principles of strategic planning as a cornerstone of effective management in the hospitality and tourism industries.","3","HTM 311 or HTM 326 or MGT 201 or MGT 300 and CMST 210 or CMST 240",""
"HTM","425","Legal Issues in Service Management","Legal rights and responsibilities of service industry managers, their staff, and clientele.","3","HTM 311",""
"HTM","435","Advanced Event Planning and Design","Management techniques used in the execution of meetings, marketing, conventions, and special events. Emphasis on integration of management principles and strategic planning.","3","HTM 212",""
"HTM","440","Special Topics: Hospitality and Tourism Management","Developments, issues, and problems in hotel, restaurant, and tourism. Variable topics.","1-3","",""
"HTM","445","Restaurant and Catering Management and Execution","Application of management concepts in menu design, personnel, cost control, and production and service of food.","3","HTM 210",""
"HTM","450","Hotel Development and Analytics","Designed to allow students to interpret operational problems currently occurring in the hotel industry in a case study, interactive environment. The student will analyze management opportunities and threats within a hotel and determine reasonable alternatives.","3","HTM 211",""
"HTM","484","Critical Sustainable Tourism","Critical Sustainable Tourism: Explores the historic and current socio-cultural impacts of tourism on the environment, community, and government. Understand the complexities of tourism relationships from the host community and tourist perspective. Explain how tourism influences culture, communities, and societies through forces of racial/ethnic identity, class, gender, sex tourism, and the politicization of tourism. Identifying the power dynamics within tourism planning and development of a tourism destination. Emphasis on the study of both historic and current socio-cultural impacts of tourism on family, community, culture, government, and the environment, as well as other current issues.","3","",""
"HTM","492","Professional Experience","Supervised educational experiences in selected hospitality operations.","2","HTM 390 and ",""
"HTM","493","Independent Study","Individual problems or activities for students with special interests in hotel, restaurant, and tourism.","1-3","",""
"HTM","494","Directed Study: Hotel, Restaurant, and Tourism","Individual student-faculty experience.","1-3","",""
"HTM","495","Advanced Professional Experience in Hospitality & Tourism Management","Supervised educational experiences in selected hospitality operations that build on the initial professional experience in HTM 492 .","3","HTM 492 and ",""
